      player_id       player_name  Tier  Final_agg_score  agg_PR_score  agg_RunD_score  Situational_score        apy                  Role    Est_APY    Pay_flag  Tier_APY_Z
197  00-0038835           J.Pryor     5         0.000000           NaN             NaN           0.000000   0.915000           Replacement   1.797379  FairlyPaid   -0.204601
198  00-0038591          M.Morris     5         0.000000           NaN             NaN           0.000000   1.040519           Replacement   1.797379  FairlyPaid   -0.153796
199  00-0032463            K.Peko     5         0.000000           NaN             NaN           0.000000   0.315000           Replacement   1.797379  FairlyPaid   -0.447456
200  00-0038603            R.Beal     5         0.000000           NaN             NaN           2.000000   0.234000           Replacement   1.797379  FairlyPaid   -0.480241
201  00-0038463             B.Cox     5         0.000000           NaN             NaN          18.600000   0.901333           Replacement   1.797379  FairlyPaid   -0.210133
202  00-0031619       C.Covington     5         0.000000           NaN             NaN           4.000000   1.165000           Replacement   1.797379  FairlyPaid   -0.103412
203  00-0038635           A.Jones     5         0.000000           NaN             NaN           0.000000   1.132500           Replacement   1.797379  FairlyPaid   -0.116566
204  00-0038742           T.Wheat     5         0.000000           NaN             NaN           4.000000   1.755000           Replacement   1.797379  FairlyPaid    0.135396
205  00-0038737            I.Land     5         0.000000           NaN             NaN           2.000000   1.132500           Replacement   1.797379  FairlyPaid   -0.116566
206  00-0038666         D.Coleman     5         0.000000           NaN             NaN           0.000000   0.795000           Replacement   1.797379  FairlyPaid   -0.253172
207  00-0039450            I.Ukwu     5         0.000000           NaN             NaN           0.000000   0.234000           Replacement   1.797379  FairlyPaid   -0.480241
